ID	Transect	Latitude	Longitude	Elevation
201	Chilcotin	51.647358	-124.39305	827
202	Chilcotin	51.64812	-124.393608	827
203	Chilcotin	51.646388	-124.392691	827
204	Chilcotin	51.8997231	-124.422775	1065
205	Chilcotin	51.900276	-124.4197235	1050
206	Chilcotin	51.8986129	-124.4247207	1063
207	Chilcotin	52.13249	-123.6889	844
208	Chilcotin	52.126918	-123.686547	831
209	Chilcotin	52.126899	-123.686062	831
210	Chilcotin	52.10229	-123.41047	743
211	Chilcotin	52.103065	-123.412306	743
212	Chilcotin	51.92003	-123.08124	618
213	Chilcotin	51.92067	-123.082065	618
214	Chilcotin	51.973827	-122.317946	804
215	Chilcotin	51.967207	-122.298293	703
216	Chilcotin	51.988208	-122.277499	383
217	Chilcotin	51.988969	-122.277313	381
218	Chilcotin	51.989515	-122.277328	381
219	Chilcotin	52.122454	-122.120401	573
220	Chilcotin	52.123087	-122.120384	572
221	Chilcotin	52.120033	-122.119529	573
222	Chilcotin	52.332634	-122.264354	632
223	Chilcotin	52.332382	-122.263738	635
224	Chilcotin	52.62658	-122.448093	574
225	Chilcotin	52.62395	-122.4521	548
226	Chilcotin	52.985896	-122.478257	487
227	Chilcotin	52.986517	-122.479024	485
228	Chilcotin	52.985597	-122.476766	492
229	Chilcotin	53.098524	-122.35892	714
230	Chilcotin	53.098588	-122.358095	721
231	Chilcotin	53.097931	-122.359298	718
232	Chilcotin	53.283418	-122.492651	677
233	Chilcotin	53.283906	-122.492829	677
234	Chilcotin	53.284727	-122.492936	677
235	Chilcotin	53.495147	-122.641074	714
236	Chilcotin	53.4944436	-122.639722	723
237	Chilcotin	53.794186	-122.71525	603
238	Chilcotin	53.79468	-122.71569	604
240	Chilcotin	53.967359	-122.767788	667
241	Chilcotin	53.965253	-122.768184	661
242	Chilcotin	54.095228	-122.681747	614
243	Chilcotin	54.097557	-122.668413	607
244	Chilcotin	54.316435	-122.635063	722
245	Chilcotin	54.317283	-122.633842	726
246	Chilcotin	54.317153	-122.635141	722
247	Chilcotin	55.150626	-122.984969	742
248	Chilcotin	55.149885	-122.984412	741
249	Chilcotin	55.152056	-122.986616	745
250	Chilcotin	55.223114	-122.719142	746
251	Chilcotin	55.223518	-122.720322	748
252	Chilcotin	55.222726	-122.724174	746
253	Chilcotin	55.451016	-122.743388	813
254	Chilcotin	55.451168	-122.744038	813
255	Chilcotin	55.452429	-122.745146	817
256	Chilcotin	55.607922	-122.304014	639
257	Chilcotin	55.608635	-122.303403	639
258	Chilcotin	55.617417	-121.834583	598
259	Chilcotin	55.617412	-121.836515	597
260	Chilcotin	55.61789	-121.831345	605
261	Chilcotin	55.712402	-121.375945	729
262	Chilcotin	55.712098	-121.377416	728
263	Chilcotin	55.711866	-121.378583	724
264	Chilcotin	55.781676	-120.936242	731
265	Chilcotin	55.782133	-120.936963	733
266	Chilcotin	55.752794	-120.120894	645
267	Chilcotin	55.750775	-120.100201	636
268	Chilcotin	55.750911	-120.101609	636
269	Chilcotin	55.763839	-120.460967	807
270	Chilcotin	55.761761	-120.465696	802
271	Chilcotin	55.762637	-120.483603	802
301	Crowsnest	49.098348	-121.969905	NA
302	Crowsnest	49.098635	-121.966329	NA
303	Crowsnest	49.356089	-121.578744	NA
304	Crowsnest	49.356685	-121.577499	NA
305	Crowsnest	49.213417	-121.079982	NA
306	Crowsnest	49.221605	-121.036934	NA
307	Crowsnest	49.111034	-120.846366	NA
308	Crowsnest	49.111653	-120.84402	NA
309	Crowsnest	49.237812	-120.563031	NA
310	Crowsnest	49.298773	-120.587479	NA
311	Crowsnest	49.454762	-120.375224	NA
312	Crowsnest	49.450313	-120.329131	NA
313	Crowsnest	49.256169	-120.014431	NA
314	Crowsnest	49.256651	-120.015103	NA
315	Crowsnest	49.082201	-119.596931	NA
316	Crowsnest	49.013049	-119.397645	NA
317	Crowsnest	49.056415	-118.999945	NA
318	Crowsnest	49.055702	-119.000877	NA
319	Crowsnest	49.009213	-118.753899	NA
320	Crowsnest	49.009468	-118.753406	NA
322	Crowsnest	49.154269	-118.546277	NA
323	Crowsnest	49.014102	-118.343899	NA
324	Crowsnest	49.014263	-118.344921	NA
325	Crowsnest	49.125761	-118.209082	NA
326	Crowsnest	49.125526	-118.208974	NA
327	Crowsnest	49.22332	-118.087003	NA
328	Crowsnest	49.243294	-118.052691	NA
329	Crowsnest	49.248267	-117.960443	NA
330	Crowsnest	49.247428	-117.961641	NA
331	Crowsnest	49.23632	-117.629425	NA
332	Crowsnest	49.243405	-117.612759	NA
333	Crowsnest	49.187165	-117.368733	NA
334	Crowsnest	49.19239	-117.283603	NA
335	Crowsnest	49.192214	-117.284142	NA
336	Crowsnest	49.027243	-117.150149	NA
337	Crowsnest	49.027637	-117.150116	NA
339	Crowsnest	49.096092	-116.999104	NA
340	Crowsnest	49.109904	-116.859429	NA
341	Crowsnest	49.109699	-116.860075	NA
342	Crowsnest	49.117229	-116.531242	NA
343	Crowsnest	49.118061	-116.538988	NA
344	Crowsnest	49.128321	-116.450191	NA
345	Crowsnest	49.122642	-116.445167	NA
346	Crowsnest	49.156976	-116.339758	NA
347	Crowsnest	49.143084	-116.22553	NA
348	Crowsnest	49.116775	-116.180762	NA
349	Crowsnest	49.109613	-116.170196	NA
350	Crowsnest	49.079477	-116.117863	NA
351	Crowsnest	49.079795	-116.116928	NA
352	Crowsnest	49.20616	-115.979293	NA
353	Crowsnest	49.206225	-115.978614	NA
354	Crowsnest	49.33033	-115.823143	NA
355	Crowsnest	49.38085	-115.850146	NA
356	Crowsnest	49.381625	-115.850358	NA
357	Crowsnest	49.417379	-115.421751	NA
358	Crowsnest	49.43094	-115.417003	NA
359	Crowsnest	49.430755	-115.417012	NA
360	Crowsnest	49.360297	-115.299146	NA
361	Crowsnest	49.350484	-115.29651	NA
362	Crowsnest	49.344335	-115.195504	NA
363	Crowsnest	49.29936	-115.112982	NA
364	Crowsnest	49.29594	-115.107656	NA
365	Crowsnest	49.312961	-115.070693	NA
366	Crowsnest	49.392135	-115.016124	NA
367	Crowsnest	49.464178	-115.073157	NA
368	Crowsnest	49.525294	-115.053771	NA
369	Crowsnest	49.566607	-114.993255	NA
371	Crowsnest	49.645672	-114.912077	NA
372	Crowsnest	49.712037	-114.89543	NA
373	Crowsnest	49.729817	-114.853913	NA
374	Crowsnest	49.700658	-114.827499	NA
375	Crowsnest	49.673044	-114.783854	NA
376	Crowsnest	49.672727	-114.784163	NA
377	Crowsnest	49.649414	-114.71167	NA
378	Crowsnest	49.624539	-114.654521	NA
379	Crowsnest	49.631775	-114.586446	NA
380	Crowsnest	49.631144	-114.498086	NA
381	Crowsnest	49.634062	-114.49098	NA
382	Crowsnest	49.600274	-114.402196	NA
383	Crowsnest	49.557346	-114.324046	NA
384	Crowsnest	49.584439	-114.204399	NA
385	Crowsnest	49.486055	-113.947131	NA
386	Crowsnest	49.521407	-114.033025	NA
387	Crowsnest	49.521146	-114.032889	NA
388	Crowsnest	49.557683	-113.86539	NA
389	Crowsnest	49.556643	-113.821787	NA
390	Crowsnest	49.718467	-113.450965	NA
392	Crowsnest	49.732901	-113.398265	NA
393	Crowsnest	49.79161	-113.122045	NA
397	Crowsnest	49.685887	-112.855225	NA
398	Crowsnest	49.854702	-112.854702	NA
401	Cassiar	60.703575	-135.053658	NA
402	Cassiar	60.703317	-135.051822	NA
403	Cassiar	60.231834	-132.911291	NA
404	Cassiar	60.231438	-132.909484	NA
405	Cassiar	60.0516	-128.909711	NA
406	Cassiar	60.051473	-128.908515	NA
407	Cassiar	59.950227	-129.089842	NA
408	Cassiar	59.949849	-129.089705	NA
409	Cassiar	59.865222	-129.15297	NA
410	Cassiar	59.864848	-129.153679	NA
411	Cassiar	59.670695	-129.161659	NA
412	Cassiar	59.671541	-129.161364	NA
413	Cassiar	59.448505	-129.218965	NA
414	Cassiar	59.449025	-129.218398	NA
415	Cassiar	59.329465	-129.22573	NA
416	Cassiar	59.328977	-129.223796	NA
417	Cassiar	59.258517	-129.617037	NA
418	Cassiar	59.258467	-129.618218	NA
419	Cassiar	59.126286	-129.824136	NA
420	Cassiar	59.127502	-129.822974	NA
421	Cassiar	59.002718	-129.795198	NA
422	Cassiar	59.002373	-129.793453	NA
423	Cassiar	58.875079	-130.039692	NA
424	Cassiar	58.873971	-130.041396	NA
425	Cassiar	58.681735	-130.04832	NA
426	Cassiar	58.680816	-130.048204	NA
427	Cassiar	58.405924	-129.955389	NA
428	Cassiar	58.40697	-129.958371	NA
429	Cassiar	58.144753	-129.873521	NA
430	Cassiar	58.145547	-129.873829	NA
431	Cassiar	58.012845	-130.006331	NA
432	Cassiar	58.013137	-130.00476	NA
433	Cassiar	57.774576	-129.963963	NA
434	Cassiar	57.774132	-129.964505	NA
435	Cassiar	57.51605	-130.201921	NA
436	Cassiar	57.516306	-130.204416	NA
437	Cassiar	57.256976	-130.248231	NA
438	Cassiar	57.257893	-130.248477	NA
439	Cassiar	56.968113	-130.248254	NA
440	Cassiar	56.966235	-130.247563	NA
441	Cassiar	56.779515	-129.951768	NA
442	Cassiar	56.77906	-129.951382	NA
443	Cassiar	56.625448	-129.677487	NA
444	Cassiar	56.624575	-129.676275	NA
445	Cassiar	56.626325	-129.676518	NA
446	Cassiar	56.513968	-129.476645	NA
447	Cassiar	56.514263	-129.478085	NA
448	Cassiar	56.514931	-129.47828	NA
