ID	mean_finalFreeze	mean_cGDDfreeze	med_DD0
201	157.975	889.825	111.5
202	157.975	889.825	111.5
204	171.25	1033.3875	137
205	171.25	1033.3875	137
206	170.025	1019.2875	133.5
207	152.125	843.46875	118.5
208	152.125	843.9375	118.5
209	152.125	843.9375	118.5
210	145.4	797.69375	111.5
211	147.2	811.7875	112.5
212	139.25	758.6125	102
213	139.25	758.6125	102
214	140.05	692.45625	110.5
215	136.425	685.30625	104.5
216	131.825	684.25	88.5
217	131.825	684.25	88.5
218	131.825	684.25	88.5
219	135.175	672.98125	100.5
220	135.175	672.98125	100.5
221	134.95	682.8125	96.5
222	137.075	679.9125	102.5
223	137.075	679.9125	102.5
224	135.725	681.58125	101
225	135.725	681.58125	101
227	136.875	671.95625	96.5
228	136.875	671.95625	96.5
229	140.3	636.60625	111.5
230	140.3	636.60625	111.5
231	140.3	636.60625	111.5
232	138.8	631.4875	105
233	138.8	631.4875	105
234	138.8	635.1125	105
235	138.625	623.35625	105.5
236	138.625	623.35625	105.5
237	137.4	609.5	104
238	137.4	609.5	104
240	138.625	591.575	110.5
241	138.625	591.575	110.5
243	138.525	596.03125	109.5
244	139.225	564.8625	119
245	139.225	564.8625	119
246	139.225	564.8625	119
247	142.325	543.33125	130.5
248	142.325	543.33125	130.5
249	142.55	540.25	130.5
250	140.85	537.5625	129
251	145.375	516.86875	139
254	143.95	511.7375	139
255	143.95	511.7375	139
256	140.175	544.73125	126
257	140.175	544.73125	126
258	139.1	555.64375	124.5
259	139.1	555.64375	124.5
260	139.1	555.64375	124.5
261	140.175	530.775	133
262	140.175	530.775	133
263	140.175	530.775	133
265	141.175	527.69375	137.5
266	139.975	553.4625	134.5
267	139.975	552.2875	135
268	139.975	552.2875	135
269	142.65	523.6875	142
271	142.65	522.7875	142
301	78.95	259.675	15
302	78.95	259.58125	15.5
303	76.375	226.65625	20
304	76.375	226.65625	20
307	151.95	558.35625	132
308	151.95	558.35625	132
309	149.875	598.29375	125.5
310	151	614.475	127
311	128.45	568.49375	84
312	127.95	562.7625	85.5
313	117.525	512.125	66.5
314	117.525	512.125	66.5
315	117.725	482.3625	74
316	122.275	514.4875	84
317	121.725	537.7625	77
318	121.725	537.7625	77
319	123.4	543.85	81.5
320	123.4	543.85	81.5
322	130.925	541.24375	96.5
323	120.775	523.35	73
324	120.775	523.35	73
325	120.95	482.19375	81
326	120.95	482.19375	81
327	142.075	452.46875	127
328	149.45	451.05	136.5
329	136.05	440.0625	119.5
330	136.05	440.0625	119.5
331	118.2	414.75625	82.5
332	118.625	413.8	83.5
333	118.925	432.2625	83
334	117.6	441.64375	75
335	117.6	441.64375	75
336	130.525	475.3875	106.5
337	130.525	475.3875	106.5
339	146.8	463.83125	137
340	128.35	459.18125	100.5
341	128.35	459.18125	100.5
342	114.4	450.61875	66
343	114.4	450.61875	66
344	118.4	465.64375	75.5
346	121.6	493.9	79
347	125.35	525.19375	83.5
348	127.6	533.74375	87.5
350	128.4	547.80625	88.5
351	128.4	547.80625	88.5
352	132.775	580.15625	95.5
353	132.775	580.15625	95.5
354	133.925	587.13125	98.5
355	134.775	582.95	99.5
356	134.775	582.95	99.5
357	136	679.325	85
358	136.675	679.24375	87
359	136.675	679.24375	87
360	137.7	678.0875	87.5
361	137.05	679.7125	86.5
362	138.225	675.85625	89.5
363	139.375	665.13125	93
364	139.575	661.39375	93.5
365	140.35	646.78125	97.5
366	140.675	663.33125	96
368	141.525	658.23125	99
369	142.3	653.61875	102
371	143.05	636.4375	109.5
372	144.675	656.58125	109
375	148.175	643.61875	115
376	148.175	643.61875	115
377	151.325	620.88125	126.5
378	162.275	600.59375	146
379	152.1	640.3625	120.5
380	150.2	649.01875	117
382	147.85	647.8875	112.5
383	144.9	652.90625	105
384	143.025	666.225	101
385	137.575	639.6125	97.5
386	140.2	653.14375	97.5
387	140.2	653.14375	97.5
388	136.625	655.1125	97
389	136.1	658.81875	95.5
390	135.35	706.21875	95.5
392	135.35	711.79375	95.5
393	134.875	719.9625	97.5
397	132.95	705.63125	94
398	133.975	695.51875	99.5
402	151.35	544.60625	165
403	153.9	548.11875	168
404	153.9	548.11875	168
405	141.425	460.0875	172.5
409	152.625	525.2125	178
410	152.625	525.2125	178
411	145.75	490.5875	172
412	145.75	490.5875	172
413	146.775	499.475	170.5
414	146.775	499.475	170.5
416	149.9	517.85	172.5
417	161.5	590.98125	179
418	161.5	590.98125	179
419	153.075	540.66875	171
420	153.075	540.66875	171
421	156.375	564.075	172.5
422	156.375	564.075	172.5
423	155.35	561.9	169.5
425	153.85	556.35625	166
426	153.85	556.35625	166
427	160.775	602.21875	168.5
428	160.775	602.21875	168.5
429	172.375	662.24375	179
430	172.075	661.91875	179
431	164.75	617.84375	168
432	164.75	617.84375	168
433	157.45	571.15	160
434	157.45	571.15	160
435	154.725	530.5125	156.5
436	154.725	530.5125	156.5
438	147.775	492.71875	148.5
439	139.15	444.25625	139.5
440	139.15	444.25625	139.5
442	141.175	454.0875	139.5
443	136.7	448.20625	132.5
444	136.7	448.20625	132.5
446	136.8	456.23125	130
447	136.8	456.23125	130
448	136.8	456.23125	130
450	135.725	462.0375	120.5
451	135.725	462.0375	120.5
452	140.8	475.175	128
453	140.8	475.175	128
454	140.8	475.175	128
455	127.9	424.79375	108.5
456	127.9	424.79375	108.5
457	125.95	422.73125	102.5
460	124.75	425.08125	96
461	124.75	425.08125	96
462	124.75	425.08125	96
463	131.25	460.575	103.5
464	131.25	460.575	103.5
465	131.25	460.575	103.5
467	132.175	483.125	102.5
468	132.775	490.50625	100.5
470	132.775	490.50625	100.5
471	129.925	479.4625	95.5
472	129.925	479.4625	95.5
474	123	426.0625	83.5
475	123	426.0625	83.5
476	115.55	372.05	67
477	115.55	372.05	67
478	104.325	289.16875	43.5
479	104.325	289.16875	43.5
501	77.3	246.29375	12
503	71.95	231.4	14
504	77.625	240.7125	16.5
505	72.875	230.7625	14.5
507	90.45	288.3625	27
508	109.725	402.48125	46.5
509	135.95	604.70625	92.5
510	143.725	648.19375	106.5
511	125.075	560.20625	71.5
512	128.725	564.03125	83.5
514	113.525	459.325	67
515	113.175	459.85625	66
516	116.9	492.60625	72
517	127.35	550.725	88
518	141.25	594.425	114
519	125.325	542.3	83.5
520	160.925	723.65	135
521	125.175	561.8125	80.5
522	127.825	569.86875	83.5
523	130.2	518.9375	100
528	138.9	573.13125	116.5
529	138.575	580.81875	116
530	144.7	616.0375	126.5
531	140.9	605.38125	115
532	140.525	609.25	113
533	140.55	615.81875	111
535	141.425	625.50625	113.5
536	142.6	628.95625	121
537	148.85	661.91875	133
538	149.1	668.35	134
540	150.275	678.775	136.5
541	152.925	705.0875	138
542	154.025	716.36875	139
543	154.7	724.85	140
546	150.525	743.4125	124.5
547	150.525	741.33125	124.5
549	151	754.0875	123
550	150.45	757.8375	122
551	150.3	758.875	121.5
553	152.675	775.375	131.5
555	150.525	769.91875	129
557	146.975	744.05	129
558	146.5	733.03125	131
559	148.8	735.25625	139
560	146.025	718.8125	136
561	148.4	724.93125	141.5
562	146.575	725.75625	133
563	145.75	724.79375	131
564	145.3	722.375	130.5
566	145.55	721.60625	132
567	145.2	724.29375	132
568	146.175	728.89375	133
569	146.25	733.15	132.5
571	146.975	740.6125	132
572	146.975	740.14375	133.5
574	147.25	741.01875	135.5
578	141.625	667.93125	132
579	140.725	652.05	131.5
580	138.025	622.55	130
582	135.85	555.24375	132
586	134.025	505.21875	131
588	133.025	513.325	129.5
591	139.85	553.3625	134.5
592	141.475	548.55625	138
593	141.325	550.2625	138
595	142.425	538.575	141.5
596	141.55	541.95625	140.5
597	141.5	543.61875	141
600	139.8	553.09375	138.5
601	140.4	542.9125	125.5
603	140.4	542.9125	125.5
604	138.55	548.30625	123
605	138.55	548.30625	123
606	138.55	548.30625	123
607	138.975	556.51875	120
608	138.975	556.51875	120
703	125.525	405.4	64
704	125.525	401.875	65.5
705	121.675	485.39375	51
706	122.25	491.59375	52.5
707	122.5	519.55625	68
708	122.5	519.55625	68
709	122.5	519.55625	68
710	120.925	508.7	69
711	120.925	508.7	69
712	117.9	513.25625	61.5
713	122.725	577.73125	57
714	122.725	577.73125	57
715	123.15	567.9375	58
716	123.575	576.95	62.5
717	123.575	576.95	62.5
718	127.125	581.10625	63
719	127.125	581.10625	63
720	127.125	581.10625	63
721	128.025	580.58125	67
722	128.025	580.58125	67
723	128.025	580.58125	67
724	132.725	659.8625	67
725	132.725	659.8625	67
726	134.9	605.8	90
729	137.775	592.63125	105.5
730	137.775	591.65	105
731	131.85	571.71875	85.5
732	131.85	571.71875	85.5
733	131.85	571.71875	85.5
734	142.8	701.66875	104
735	142.95	692.99375	105.5
736	142.8	701.66875	104
737	148.175	875.7625	98.5
738	149.125	886.1125	97.5
739	149.075	888.05625	97.5
740	143.05	846.16875	92
741	143.05	846.16875	92
742	133.15	755.70625	70
743	133.15	757.2125	69.5
745	167.475	859.09375	145.5
746	167.475	869.1375	142.5
747	163.775	875.6875	133
749	140.775	758.3375	88.5
750	140.775	758.3375	88.5
751	141.45	754.39375	91
752	141.45	754.39375	91
753	141.45	754.39375	91
754	136.65	762.49375	78
755	135.05	762.675	73.5
756	135.475	764.1625	75.5
757	132.65	821.425	73.5
758	132.65	821.425	73.5
759	132.65	821.425	73.5
760	141.525	773.84375	90.5
761	142.15	774.63125	91.5
762	144.25	745.9	103
763	157.55	752.7625	139
764	157.55	752.7625	139
765	157.55	752.7625	139
766	135.55	810.49375	94
767	135.55	810.49375	94
768	146.475	814.9875	108
769	146.475	814.9875	108
770	146.475	814.9875	108
771	146.475	814.9875	108
772	163.35	923.76875	137
773	163.35	923.76875	137
774	163.325	906.04375	138
775	127.925	796.325	99.5
776	139.5	792.3875	111.5
777	139.675	790.5125	112
778	139.675	790.5125	112
779	157.975	810.11875	136
780	157.975	810.11875	136
781	157.975	806.0625	137
782	157.975	806.0625	137
783	141.15	801.2	108.5
784	141.15	801.2	108.5
785	141.15	801.2	108.5
786	142.75	799.6	113
787	141.025	798.04375	111
788	141.775	798.78125	112
789	149.675	823.00625	123
790	149.675	823.00625	123
791	148.75	799.7	121.5
792	148.75	799.7	121.5
793	148.75	799.7	121.5
794	148.75	799.7	121.5
795	153.35	724.56875	130.5
796	153.35	724.56875	130.5
798	159.075	956.675	126.5
799	159.075	956.675	126.5
800	159.075	956.675	126.5
801	129.45	374	140
802	129.45	374	140
803	132.1	363.5125	147
805	132.35	320.2625	149
806	127.075	358.5	122.5
807	122.7	310.49375	117.5
808	127.525	336.6625	115
809	130.775	364.28125	123.5
810	132.175	406.95625	125
811	140.775	442.75	134
812	138.825	469.1375	125.5
813	139.45	451.6375	136
814	138	469.425	126
815	138.025	470.98125	124.5
816	136.35	426.6625	120
817	133.5	401.25625	110.5
818	131.55	392.9125	104.5
819	130.525	396.81875	98.5
820	134.65	406.9625	118
821	139.55	421.56875	140.5
822	124.825	318.45	104.5
823	129.7	411.875	137
824	134.7	442.85625	142
825	136.2	454.26875	144
826	137.6	461.36875	145
827	140.325	477.98125	148
828	143.6	483.45	162
829	145.6	482.70625	172.5
831	149.975	472.55	186.5
832	147.525	509.89375	176
833	147.3	482.5	176.5
835	149.975	472.55	186.5
836	149.875	454.38125	182.5
837	143.7	425.9125	175.5
838	138.725	409.95	162
839	147.925	430.46875	180
840	148.3	427.7875	180.5
841	132.325	364.90625	146.5
842	132.075	362.4375	145.5
843	124.275	321.5875	128
845	129.025	349.625	135.5
847	145.775	420.7	175.5
848	132	426.3875	149
849	132.95	441.83125	151.5
850	134.925	461.11875	155.5
851	134.875	457.64375	155
852	135.275	449.09375	157
853	134.65	441.58125	156.5
854	134.4	442.66875	156
855	136.525	450.225	159
856	141.025	439.39375	172.5
857	141.55	415.975	180
